SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
16000001,9.0,8.0,5.8,7.6,7.6000000000000005
16000002,7.6,7.5,6.4,7.166666666666667,7.166666666666667
16000003,8.6,9.0,8.2,8.6,8.6
16000004,9.0,8.5,6.4,7.966666666666666,7.966666666666666
16000005,8.4,7.5,7.2,7.7,7.7
16000006,8.8,8.0,7.2,8.0,8.0
16000007,7.6,9.0,9.2,8.6,8.6
16000008,7.8,8.75,8.4,8.316666666666668,8.316666666666668
16000009,8.8,6.25,6.8,7.283333333333334,7.283333333333334
16000010,9.2,7.5,7.8,8.166666666666666,8.166666666666666
16000011,8.0,8.75,8.8,8.516666666666667,8.516666666666667
16000012,8.6,8.75,8.0,8.450000000000001,8.450000000000001
16000013,8.6,8.5,8.8,8.633333333333335,8.633333333333335
16000014,8.2,8.25,8.6,8.35,8.35
16000015,8.0,8.5,7.4,7.966666666666666,7.966666666666666
16000016,9.0,8.25,8.0,8.416666666666666,8.416666666666666
16000017,8.4,8.25,8.4,8.35,8.35
16000018,8.2,9.0,8.2,8.466666666666667,8.466666666666667
16000019,7.8,9.0,9.4,8.733333333333334,8.733333333333334
16000020,8.4,9.0,8.2,8.533333333333333,8.533333333333333
16000021,6.4,8.75,5.6,6.916666666666667,6.916666666666667
16000022,8.6,8.75,9.2,8.85,8.85
16000023,8.0,9.25,9.2,8.816666666666666,8.816666666666666
16000024,7.8,9.5,8.8,8.700000000000001,8.700000000000001
16000025,8.8,9.0,9.2,9.0,9.0
16000026,7.8,9.0,9.8,8.866666666666667,8.866666666666667
16000027,7.8,8.75,9.6,8.716666666666667,8.716666666666667
16000028,7.8,7.75,8.8,8.116666666666667,8.116666666666667
16000029,8.2,9.25,7.4,8.283333333333333,8.283333333333333
16000030,7.6,9.25,8.2,8.35,8.35
16000031,9.2,8.0,7.8,8.333333333333334,8.333333333333334
16000032,8.6,8.25,8.8,8.55,8.55
16000033,8.6,8.75,8.8,8.716666666666667,8.716666666666667
16000034,8.0,7.75,9.8,8.516666666666667,8.516666666666667
16000035,8.2,8.75,8.4,8.450000000000001,8.450000000000001
16000036,7.2,9.25,7.0,7.816666666666666,7.816666666666666
16000037,8.6,9.0,9.2,8.933333333333334,8.933333333333334
16000038,7.8,9.25,9.8,8.950000000000001,8.950000000000001
16000039,7.2,8.25,7.2,7.55,7.55
16000040,8.4,9.0,9.8,9.066666666666666,9.066666666666666
16000041,8.4,8.75,9.0,8.716666666666667,8.716666666666667
16000042,7.6,8.0,8.2,7.933333333333333,7.933333333333333
16000043,8.4,8.5,8.2,8.366666666666665,8.366666666666665
16000044,9.2,8.5,8.4,8.700000000000001,8.700000000000001
16000045,8.8,8.5,8.6,8.633333333333333,8.633333333333333
16000046,7.6,9.0,8.8,8.466666666666667,8.466666666666667
16000047,9.2,7.0,9.4,8.533333333333333,8.533333333333333
16000049,8.0,8.0,8.2,8.066666666666666,8.066666666666666
16000050,8.8,8.25,0.0,5.683333333333334,5.683333333333334
16000051,9.0,8.5,8.2,8.566666666666666,8.566666666666666
16000052,8.4,9.25,9.0,8.883333333333333,8.883333333333333
16000054,8.6,9.0,8.2,8.6,8.6
16000055,9.0,9.0,9.2,9.066666666666666,9.066666666666666
16000056,7.4,9.25,7.8,8.15,8.15
16000057,8.8,8.5,6.2,7.833333333333333,7.833333333333333
16000058,8.0,7.5,8.8,8.1,8.1
16000059,8.2,8.0,8.0,8.066666666666666,8.066666666666666
16000060,8.2,8.75,9.0,8.65,8.65
16000061,7.2,8.5,8.0,7.899999999999999,7.8999999999999995
16000062,8.4,7.0,3.0,6.133333333333333,6.133333333333333
16000063,8.8,6.75,4.8,6.783333333333334,6.783333333333334
16000064,7.6,8.75,9.6,8.65,8.65
16000065,7.6,8.75,8.6,8.316666666666668,8.316666666666668
16000066,8.8,7.75,0.0,5.516666666666667,5.516666666666667
16000067,9.2,6.75,8.8,8.25,8.25
16000068,8.6,6.75,8.8,8.049999999999999,8.049999999999999
16000069,8.0,8.25,9.0,8.416666666666666,8.416666666666666
16000070,8.6,8.75,9.2,8.85,8.85
16000071,8.2,8.25,0.0,5.483333333333333,5.483333333333333
16000072,7.8,8.75,9.2,8.583333333333334,8.583333333333334
16000073,8.2,7.75,0.0,5.316666666666666,5.316666666666666
16000074,8.6,8.0,8.8,8.466666666666667,8.466666666666667
16000075,6.4,8.5,8.2,7.7,7.7
16000076,9.2,6.75,7.8,7.916666666666667,7.916666666666667
16000077,9.0,7.75,8.6,8.450000000000001,8.450000000000001
16000078,8.6,8.25,8.0,8.283333333333333,8.283333333333333
16000079,8.6,8.5,9.6,8.9,8.9
16000080,7.4,9.25,7.8,8.15,8.15
16000081,7.6,8.75,8.6,8.316666666666668,8.316666666666668
16000082,7.4,8.5,7.8,7.899999999999999,7.8999999999999995
16000083,9.4,8.5,7.2,8.366666666666665,8.366666666666665
16000084,8.2,9.25,9.4,8.950000000000001,8.950000000000001
16000085,9.0,7.25,9.8,8.683333333333334,8.683333333333334
16000087,8.8,8.25,8.2,8.416666666666666,8.416666666666666
16000088,9.2,8.0,9.2,8.799999999999999,8.799999999999999
16000089,8.2,8.75,9.4,8.783333333333333,8.783333333333333
16000090,8.2,7.0,9.6,8.266666666666666,8.266666666666666
16000091,8.4,7.5,8.6,8.166666666666666,8.166666666666666
16000092,7.8,8.25,8.4,8.15,8.15
16000093,9.4,8.0,8.2,8.533333333333333,8.533333333333333
16000094,8.2,7.25,5.6,7.016666666666666,7.016666666666666
16000095,8.8,8.25,0.0,5.683333333333334,5.683333333333334
16000096,8.6,7.75,8.6,8.316666666666668,8.316666666666668
16000097,7.4,8.0,6.8,7.399999999999999,7.3999999999999995
16000098,9.0,9.0,9.8,9.266666666666667,9.266666666666667
16000099,8.6,8.5,7.0,8.033333333333333,8.033333333333333
16000100,7.4,9.0,9.6,8.666666666666666,8.666666666666666
16000101,8.0,8.5,4.8,7.1000000000000005,7.1000000000000005
16000102,8.4,8.5,8.8,8.566666666666666,8.566666666666666
16000103,9.2,8.25,7.0,8.15,8.15
16000104,8.8,8.75,7.2,8.25,8.25
16000105,8.4,9.0,9.0,8.799999999999999,8.799999999999999
16000106,8.2,8.5,9.2,8.633333333333333,8.633333333333333
16000107,9.0,8.75,9.8,9.183333333333334,9.183333333333334
16000108,7.8,8.0,9.8,8.533333333333333,8.533333333333333
