SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
30000001,6.2,7.25,3.6,5.683333333333334,5.683333333333334
30000002,7.0,6.25,5.6,6.283333333333334,6.283333333333334
30000003,7.4,7.25,6.4,7.016666666666667,7.016666666666667
30000004,8.0,8.75,7.8,8.183333333333334,8.183333333333334
30000005,8.0,7.0,5.6,6.866666666666667,6.866666666666667
30000006,8.6,7.75,7.0,7.783333333333334,7.783333333333334
30000007,6.4,8.0,4.0,6.133333333333333,6.133333333333333
30000008,7.4,8.0,8.0,7.8,7.8
30000009,8.2,7.0,8.6,7.933333333333333,7.933333333333333
30000010,6.4,8.75,6.6,7.25,7.25
30000011,7.8,9.0,4.0,6.933333333333334,6.933333333333334
30000012,8.8,7.0,6.0,7.266666666666667,7.266666666666667
30000013,7.2,6.0,5.8,6.333333333333333,6.333333333333333
30000014,6.6,5.75,0.0,4.116666666666666,4.116666666666666
30000015,5.8,7.75,0.0,4.516666666666667,4.516666666666667
30000016,7.0,8.0,7.4,7.466666666666666,7.466666666666666
30000017,8.6,9.25,10.0,9.283333333333331,9.283333333333333
30000018,6.6,8.0,6.0,6.866666666666667,6.866666666666667
30000019,7.8,8.0,6.6,7.466666666666666,7.466666666666666
30000020,7.6,8.0,4.2,6.6000000000000005,6.6000000000000005
30000021,7.0,7.5,3.0,5.833333333333333,5.833333333333333
30000022,5.8,6.0,0.0,3.9333333333333336,3.9333333333333336
30000023,6.6,7.0,4.0,5.866666666666667,5.866666666666667
30000024,7.8,8.0,8.0,7.933333333333334,7.933333333333334
30000025,6.2,6.0,0.0,4.066666666666666,4.066666666666666
30000026,5.0,6.5,3.0,4.833333333333333,4.833333333333333
30000027,6.2,6.25,5.0,5.816666666666666,5.816666666666666
30000028,7.2,8.0,7.0,7.399999999999999,7.3999999999999995
30000029,6.8,8.0,4.0,6.266666666666667,6.266666666666667
30000030,9.2,8.0,9.6,8.933333333333332,8.933333333333332
30000031,4.8,6.25,5.4,5.483333333333334,5.483333333333334
30000032,5.6,6.75,3.4,5.25,5.25
30000033,8.8,8.0,5.2,7.333333333333333,7.333333333333333
30000034,8.4,7.75,4.2,6.783333333333332,6.783333333333332
30000035,7.0,8.75,5.4,7.05,7.05
30000036,8.4,8.75,9.6,8.916666666666666,8.916666666666666
30000037,4.4,3.5,0.0,2.6333333333333333,2.6333333333333333
30000038,3.0,7.0,0.0,3.333333333333333,3.3333333333333335
30000039,5.4,8.25,5.0,6.216666666666666,6.216666666666666
30000040,7.2,8.75,4.6,6.849999999999999,6.849999999999999
30000041,3.8,7.0,4.2,5.0,5.0
30000042,5.6,8.5,4.6,6.233333333333333,6.233333333333333
30000043,5.8,7.75,0.0,4.516666666666667,4.516666666666667
30000044,5.4,8.5,7.0,6.966666666666666,6.966666666666666
30000045,4.8,7.5,5.4,5.900000000000001,5.900000000000001
30000046,7.8,5.5,5.6,6.3,6.3
30000047,4.0,7.25,4.0,5.083333333333333,5.083333333333333
30000048,7.0,7.75,4.8,6.516666666666667,6.516666666666667
30000049,5.2,6.5,5.2,5.633333333333333,5.633333333333333
30000050,8.2,8.0,7.6,7.933333333333333,7.933333333333333
30000051,7.0,7.0,0.0,4.666666666666667,4.666666666666667
30000052,4.6,7.75,4.4,5.583333333333333,5.583333333333333
30000053,8.0,8.75,6.4,7.716666666666666,7.716666666666666
30000054,6.8,8.25,4.8,6.616666666666667,6.616666666666667
30000055,4.6,7.25,0.0,3.95,3.9499999999999997
30000056,7.2,9.0,5.6,7.266666666666666,7.266666666666666
30000057,3.8,6.75,4.0,4.8500000000000005,4.8500000000000005
30000058,8.2,8.25,7.4,7.95,7.95
30000059,7.2,6.5,0.0,4.566666666666666,4.566666666666666
30000060,4.6,7.5,3.6,5.233333333333333,5.233333333333333
30000061,8.0,8.75,5.6,7.45,7.45
30000062,8.2,9.25,9.0,8.816666666666666,8.816666666666666
30000063,7.6,8.5,4.4,6.833333333333333,6.833333333333333
30000064,1.8,6.75,3.0,3.85,3.85
30000065,8.2,7.75,7.0,7.649999999999999,7.6499999999999995
30000066,6.4,7.5,2.4,5.433333333333334,5.433333333333334
30000067,5.4,3.75,0.0,3.0500000000000003,3.0500000000000003
30000068,6.8,5.75,0.0,4.183333333333334,4.183333333333334
30000069,7.2,7.25,3.2,5.883333333333333,5.883333333333333
30000070,6.8,7.25,8.6,7.55,7.55
30000071,6.0,7.5,6.2,6.566666666666666,6.566666666666666
30000072,9.4,7.5,6.2,7.699999999999999,7.699999999999999
30000073,6.4,7.5,3.2,5.7,5.7
30000074,7.4,8.5,6.8,7.566666666666666,7.566666666666666
30000075,8.4,8.75,8.6,8.583333333333334,8.583333333333334
30000076,9.6,6.5,7.0,7.7,7.7
30000077,8.6,9.0,4.6,7.400000000000001,7.400000000000001
30000078,6.4,6.5,3.2,5.366666666666667,5.366666666666667
30000079,8.0,8.5,6.4,7.633333333333333,7.633333333333333
30000080,7.2,8.5,6.2,7.3,7.3
30000081,4.8,6.5,0.0,3.766666666666667,3.766666666666667
30000082,4.6,7.5,2.6,4.9,4.8999999999999995
30000083,7.4,7.0,3.8,6.066666666666666,6.066666666666666
30000084,7.2,7.75,0.0,4.983333333333333,4.983333333333333
30000085,7.0,8.0,6.0,7.0,7.0
30000086,6.4,7.25,0.0,4.55,4.55
30000087,6.6,7.75,4.0,6.116666666666667,6.116666666666667
30000088,5.8,8.25,3.6,5.883333333333334,5.883333333333334
30000089,8.2,9.0,7.4,8.200000000000001,8.200000000000001
30000090,6.0,7.75,4.0,5.916666666666667,5.916666666666667
30000091,6.8,7.5,5.6,6.633333333333333,6.633333333333333
30000092,8.2,8.5,7.0,7.899999999999999,7.8999999999999995
30000093,6.4,8.25,4.6,6.416666666666667,6.416666666666667
30000094,8.6,8.75,7.8,8.383333333333335,8.383333333333335
30000095,6.0,8.0,4.8,6.266666666666667,6.266666666666667
30000096,7.8,8.0,6.0,7.266666666666667,7.266666666666667
30000097,7.6,9.0,8.8,8.466666666666667,8.466666666666667
30000098,7.6,8.75,5.4,7.25,7.25
30000099,6.0,8.25,4.8,6.3500000000000005,6.3500000000000005
30000100,5.4,6.75,4.2,5.45,5.45
30000101,7.8,6.5,5.0,6.433333333333334,6.433333333333334
30000102,7.8,7.0,4.2,6.333333333333333,6.333333333333333
30000103,6.8,7.0,4.2,6.0,6.0
30000104,9.6,7.25,4.8,7.216666666666668,7.216666666666668
30000105,6.8,6.75,3.2,5.583333333333333,5.583333333333333
30000106,4.2,8.25,3.0,5.15,5.1499999999999995
30000107,7.6,7.5,6.2,7.1000000000000005,7.1000000000000005
30000108,5.2,6.25,0.0,3.8166666666666655,3.8166666666666664
30000109,8.0,6.25,4.0,6.083333333333333,6.083333333333333
30000110,8.2,8.0,8.0,8.066666666666666,8.066666666666666
30000111,9.0,8.25,8.2,8.483333333333333,8.483333333333333
30000112,5.2,5.25,0.0,3.483333333333333,3.483333333333333
30000113,2.8,2.75,0.0,1.85,1.8499999999999999
30000114,7.6,8.75,5.0,7.116666666666667,7.116666666666667
30000115,7.4,8.5,4.6,6.833333333333333,6.833333333333333
30000116,8.4,8.75,5.0,7.383333333333333,7.383333333333333
30000117,9.4,9.25,7.8,8.816666666666666,8.816666666666666
