SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
28000001,2.6,0.0,3.4,2.0,2.0
28000002,5.4,3.0,3.2,3.866666666666667,3.866666666666667
28000003,6.8,5.5,2.8,5.033333333333334,5.033333333333334
28000005,4.4,4.0,2.4,3.6,3.6
28000006,6.0,5.5,3.8,5.1000000000000005,5.1000000000000005
28000008,6.6,4.75,4.6,5.316666666666666,5.316666666666666
28000009,5.6,6.0,3.6,5.066666666666666,5.066666666666666
28000011,5.8,4.5,3.0,4.433333333333334,4.433333333333334
28000012,5.8,8.0,6.8,6.866666666666667,6.866666666666667
28000013,7.4,5.5,7.4,6.766666666666667,6.766666666666667
28000014,4.2,6.0,4.0,4.733333333333333,4.733333333333333
28000015,4.8,6.75,5.4,5.650000000000001,5.650000000000001
28000016,3.8,5.0,2.6,3.8,3.8000000000000003
28000017,5.6,5.25,4.4,5.083333333333333,5.083333333333333
28000018,5.4,7.0,5.6,6.0,6.0
28000019,3.4,5.0,3.4,3.9333333333333336,3.9333333333333336
28000020,5.0,7.0,5.0,5.666666666666667,5.666666666666667
28000021,3.2,4.0,3.2,3.466666666666667,3.466666666666667
28000022,4.6,5.0,2.4,4.0,4.0
28000023,3.8,3.0,4.2,3.6666666666666665,3.6666666666666665
28000025,5.0,6.0,3.0,4.666666666666667,4.666666666666667
28000027,4.0,5.75,3.8,4.516666666666667,4.516666666666667
28000028,5.6,7.0,6.0,6.2,6.2
28000029,6.8,5.5,4.8,5.7,5.7
28000030,6.6,6.0,5.0,5.866666666666667,5.866666666666667
28000031,7.4,3.25,8.6,6.416666666666667,6.416666666666667
28000032,6.0,5.75,2.4,4.716666666666667,4.716666666666667
28000033,5.8,7.0,2.8,5.2,5.2
28000034,4.8,7.0,5.2,5.666666666666667,5.666666666666667
28000035,5.0,5.75,5.8,5.516666666666667,5.516666666666667
28000036,6.0,7.75,7.6,7.116666666666667,7.116666666666667
28000037,5.0,7.0,5.8,5.933333333333334,5.933333333333334
28000038,7.2,6.75,6.8,6.916666666666667,6.916666666666667
28000040,5.4,6.5,6.8,6.233333333333333,6.233333333333333
28000041,5.8,6.5,5.8,6.033333333333334,6.033333333333334
28000042,7.2,5.75,3.8,5.583333333333333,5.583333333333333
28000043,6.2,8.0,9.0,7.733333333333333,7.733333333333333
28000044,6.0,6.5,5.8,6.1000000000000005,6.1000000000000005
28000046,6.8,3.5,4.6,4.966666666666667,4.966666666666667
28000047,6.0,3.75,3.4,4.383333333333334,4.383333333333334
28000049,5.8,7.5,5.6,6.3,6.3
28000050,4.0,4.75,2.0,3.583333333333333,3.5833333333333335
28000051,7.0,4.0,3.6,4.866666666666666,4.866666666666666
28000052,5.6,8.0,5.2,6.266666666666667,6.266666666666667
28000053,3.4,7.0,3.4,4.6000000000000005,4.6000000000000005
